sub.s	|010001:10000:ft:fs:fd:000001		|COP1:::::SUB
mul.s	|010001:10000:ft:fs:fd:000010		|COP1:::::MUL
div.s	|010001:10000:ft:fs:fd:000011		|COP1:::::DIV

sqrt.s		|010001:10000:00000:fs:fd:000100	|COP1:::::SQRT
abs.s		|010001:10000:00000:fs:fd:000101	|COP1:::::ABS
mov.s		|010001:10000:00000:fs:fd:000110	|COP1:::::MOV
neg.s		|010001:10000:00000:fs:fd:000111	|COP1:::::NEG
round.w.s	|010001:10000:00000:fs:fd:001100	|COP1:::::ROUND.W
trunc.w.s	|010001:10000:00000:fs:fd:001101	|COP1:::::TRUNC.W
ceil.w.s	|010001:10000:00000:fs:fd:001110	|COP1:::::CEIL.W
floor.w.s	|010001:10000:00000:fs:fd:001111	|COP1:::::FLOOR.W

cvt.s.w		|010001:10100:00000:fs:fd:100000	|COP1:::::CVT.S
cvt.w.s		|010001:10000:00000:fs:fd:100100	|COP1:::::CVT.W

mfc1		|010001:00000:rt:fs:00000:000000	|COP1:MF::::
mtc1		|010001:00100:rt:fs:00000:000000	|COP1:MT::::

cfc1		|010001:00010:rt:fs:00000:000000	|COP1:CF::::
ctc1		|010001:00110:rt:fs:00000:000000	|COP1:CT::::

c.f.s		|010001:10000:ft:fs:000:0:0:11:0000	|COP1::::::A:FC:cond
c.un.s		|010001:10000:ft:fs:000:0:0:11:0001	|COP1::::::A:FC:cond
c.eq.s		|010001:10000:ft:fs:000:0:0:11:0010	|COP1::::::A:FC:cond
c.ueq.s		|010001:10000:ft:fs:000:0:0:11:0011	|COP1::::::A:FC:cond
c.olt.s		|010001:10000:ft:fs:000:0:0:11:0100	|COP1::::::A:FC:cond
c.ult.s		|010001:10000:ft:fs:000:0:0:11:0101	|COP1::::::A:FC:cond
c.ole.s		|010001:10000:ft:fs:000:0:0:11:0110	|COP1::::::A:FC:cond
c.ule.s		|010001:10000:ft:fs:000:0:0:11:0111	|COP1::::::A:FC:cond
c.sf.s		|010001:10000:ft:fs:000:0:0:11:1000	|COP1::::::A:FC:cond
c.ngle.s	|010001:10000:ft:fs:000:0:0:11:1001	|COP1::::::A:FC:cond
c.seq.s		|010001:10000:ft:fs:000:0:0:11:1010	|COP1::::::A:FC:cond
c.ngl.s		|010001:10000:ft:fs:000:0:0:11:1011	|COP1::::::A:FC:cond
c.lt.s		|010001:10000:ft:fs:000:0:0:11:1100	|COP1::::::A:FC:cond
c.nge.s		|010001:10000:ft:fs:000:0:0:11:1101	|COP1::::::A:FC:cond
c.le.s		|010001:10000:ft:fs:000:0:0:11:1110	|COP1::::::A:FC:cond
c.ngt.s		|010001:10000:ft:fs:000:0:0:11:1111	|COP1::::::A:FC:cond













